date,time,ID,trial,timepoint,bin,tank,treatment,diameter,consumed,pycno,notes,bucket
2020-09-19,07:45:00,2_11,2,6,11,D,pycno,63,1.7,yes,NA,pycno
2020-09-19,07:45:00,2_17,2,6,17,D,pycno,71,1.6,yes,urchin had escaped,pycno
2020-09-19,07:45:00,2_12,2,6,12,D,pycno,71,1.8,yes,NA,pycno
2020-09-19,13:55:00,2_7,2,7,7,E,empty,68,0.8,no,NA,empty
2020-09-19,13:55:00,2_5,2,7,5,E,empty,63,1.4,no,NA,empty
2020-09-19,13:55:00,2_13,2,7,13,E,empty,72,0.5,no,NA,empty
2020-09-19,13:55:00,2_2,2,7,2,E,empty,79,4.2,no,NA,empty
2020-09-19,13:55:00,2_1,2,7,1,E,empty,67,2.2,no,NA,empty
2020-09-19,13:55:00,2_15,2,7,15,E,empty,72,0.5,no,NA,empty
2020-09-19,13:55:00,2_3,2,7,3,E,empty,77,6.2,no,NA,empty
2020-09-19,13:55:00,2_14,2,7,14,D,pycno,76,1.1,yes,NA,pycno
2020-09-19,13:55:00,2_16,2,7,16,D,pycno,69,1,yes,NA,pycno
2020-09-19,13:55:00,2_10,2,7,10,D,pycno,62,1.4,yes,NA,pycno
2020-09-19,13:55:00,2_9,2,7,9,D,pycno,72,0.1,yes,NA,pycno
2020-09-19,13:55:00,2_11,2,7,11,D,pycno,63,3.4,yes,NA,pycno
2020-09-19,13:55:00,2_17,2,7,17,D,pycno,71,2.6,yes,NA,pycno
2020-09-19,13:55:00,2_12,2,7,12,D,pycno,71,4.4,yes,NA,pycno
2020-09-19,19:50:00,2_7,2,8,7,E,empty,68,0.1,no,NA,empty
2020-09-19,19:50:00,2_5,2,8,5,E,empty,63,1.3,no,NA,empty
2020-09-19,19:50:00,2_13,2,8,13,E,empty,72,0,no,NA,empty
2020-09-19,19:50:00,2_2,2,8,2,E,empty,79,6.7,no,NA,empty
2020-09-19,19:50:00,2_1,2,8,1,E,empty,67,7.6,no,NA,empty
2020-09-19,19:50:00,2_15,2,8,15,E,empty,72,2.8,no,NA,empty
2020-09-19,19:50:00,2_3,2,8,3,E,empty,77,6.3,no,NA,empty
2020-09-19,19:50:00,2_14,2,8,14,D,pycno,76,3.3,yes,NA,pycno
2020-09-19,19:50:00,2_16,2,8,16,D,pycno,69,1.4,yes,NA,pycno
2020-09-19,19:50:00,2_10,2,8,10,D,pycno,62,3.4,yes,NA,pycno
2020-09-19,19:50:00,2_9,2,8,9,D,pycno,72,0.9,yes,NA,pycno
